brand,category,product_name,url,price,rating,scraped_at
Devrishi Ayurveda,Digestive Care,"Devrishi Gaso Amrit Syrup – Ayurvedic Solution for Gas, Acidity, Indigestion & Bloating – 200ml",https://devrishiayurveda.com/product/devrishi-gaso-amrit-syrup-ayurvedic-solution-for-gas-acidity-indigestion-bloating-200ml/,170.0,,2026-07-28 01:16:14
Devrishi Ayurveda,Digestive Care,"Devrishi Giloy Papita Swaras | Sugar-Free Ayurvedic Juice for Immunity, Digestion & Wellness –  500 ml",https://devrishiayurveda.com/product/devrishi-giloy-papita-swaras-sugar-free-ayurvedic-juice-for-immunity-digestion-wellness-500-ml/,200.0,,2026-07-28 01:16:14
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Giloy Swaras | Sugar-Free Ayurvedic Giloy Juice for Immunity, Detox & Vitality –  500 ml",https://devrishiayurveda.com/product/devrishi-giloy-swaras-sugar-free-ayurvedic-giloy-juice-for-immunity-detox-vitality-500-ml/,190.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Daily Wellness,Devrishi Gold Oil – Fast Acting Ayurvedic Pain Relief Oil for Joint and Muscle Pain (50ml),https://devrishiayurveda.com/product/devrishi-gold-oil-for-muscles-joint-pain/,320.0,5.0,2026-07-28 01:16:19
Devrishi Ayurveda,Blood Purify,"Devrishi Iro Amrit Syrup – Blood Builder for Hemoglobin, Energy & Immunity – 300ml",https://devrishiayurveda.com/product/devrishi-iro-amrit-syrup-blood-builder-for-hemoglobin-energy-immunity-300ml/,170.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Ayurvedic Juices,Devrishi Karela Jamun Swaras | Sugar-Free Ayurvedic Juice for Blood Sugar Balance & Metabolism – 500 ml,https://devrishiayurveda.com/product/devrishi-karela-jamun-swaras-sugar-free-ayurvedic-juice-for-blood-sugar-balance-metabolism-500-ml/,190.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Lauki with Tulsi Pudina Swaras  | Sugar-Free Ayurvedic Juice for Detox, Digestion & Metabolism – 500 ml",https://devrishiayurveda.com/product/devrishi-lauki-with-tulsi-pudina-swaras-sugar-free-ayurvedic-juice-for-detox-digestion-metabolism-500-ml/,190.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Neem Swaras  | Sugar-Free Ayurvedic Neem Juice for Blood Purification, Skin & Immunity – 500 ml",https://devrishiayurveda.com/product/devrishi-neem-swaras-sugar-free-ayurvedic-neem-juice-for-blood-purification-skin-immunity-500-ml/,200.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Nirgundi Swaras  | Sugar-Free Ayurvedic Juice for Joint Pain, Inflammation & Mobility | 500 ml",https://devrishiayurveda.com/product/devrishi-nirgundi-swaras-sugar-free-ayurvedic-juice-for-joint-pain-inflammation-mobility-500-ml/,250.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Daily Wellness,Devrishi Oil For Joint Pain,https://devrishiayurveda.com/product/pain-relief-oil-for-joint/,140.0,5.0,2026-07-28 01:16:19
Devrishi Ayurveda,Daily Wellness,Devrishi Ortho Ras for Pain and Stiffness,https://devrishiayurveda.com/product/devrishi-ortho-ras-for-pain-and-stiffness/,260.0,5.0,2026-07-28 01:16:19
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Panch Tulsi Swaras | Sugar-Free Ayurvedic Juice for Immunity, Respiratory Health & Wellness – 500 ml",https://devrishiayurveda.com/product/devrishi-panch-tulsi-swaras-sugar-free-ayurvedic-juice-for-immunity-respiratory-health-wellness-500-ml/,260.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Mens Wellness,Devrishi Paras Malham for Fungal and Skin Care,https://devrishiayurveda.com/product/devrishi-paras-malham-for-fungal-and-skin-care/,165.0,4.75,2026-07-28 01:16:19
Devrishi Ayurveda,Skin Care,Devrishi Paras Oil – Ayurvedic Anti-Inflammatory Skin Healing Oil,https://devrishiayurveda.com/product/devrishi-paras-oil-ayurvedic-anti-inflammatory-skin-healing-oil/,140.0,,2026-07-28 01:16:19
Devrishi Ayurveda,Joint Bone Health,"Devrishi Peeda Mukti Vati – For Joint Pain, Arthritis, Sciatica & Inflammation Relief – 30 tablets",https://devrishiayurveda.com/product/devrishi-peeda-mukti-vati-for-joint-pain-arthritis-sciatica-inflammation-relief-30-tablets/,210.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Punarnava Makoy Kutki Swaras | Sugar-Free Ayurvedic Juice for Liver, Kidney & Detox Support – 500 ml",https://devrishiayurveda.com/product/devrishi-punarnava-makoy-kutki-swaras-sugar-free-ayurvedic-juice-for-liver-kidney-detox-support-500-ml/,225.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Beauty Care,Devrishi Pure Neem Protect & Purifiels Soap For Skin Infactions,https://devrishiayurveda.com/product/devrishi-pure-neem-protect-purifiels-soap-for-skin-infactions/,70.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Shallaki Swaras  | Sugar-Free Ayurvedic Juice for Joint Health, Arthritis & Mobility – 500 ml",https://devrishiayurveda.com/product/devrishi-shallaki-swaras-sugar-free-ayurvedic-juice-for-joint-health-arthritis-mobility-500-ml/,240.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Shilajit Swaras | Sugar-Free Ayurvedic Juice for Strength, Stamina & Vitality – 500 ml",https://devrishiayurveda.com/product/devrishi-shilajit-swaras-sugar-free-ayurvedic-juice-for-strength-stamina-vitality-500-ml/,310.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Cough Cold,"Devrishi Swasika Cough Syrup – For Cough, Cold & Respiratory Relief – 100ml",https://devrishiayurveda.com/product/devrishi-swasika-cough-syrup-non-sedative-herbal-syrup-for-cough-cold-respiratory-relief-100ml/,110.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Digestive Care,"Devrishi Triphala Swaras  | Sugar-Free Ayurvedic Juice for Digestion, Gut Health & Detox – 500 ml",https://devrishiayurveda.com/product/devrishi-triphala-swaras-sugar-free-ayurvedic-juice-for-digestion-gut-health-detox-500-ml/,200.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Ayurvedic Juices,"Devrishi Udramrit Swaras  | Sugar-Free Ayurvedic Juice for Acidity, Gas & Digestive Relief – 500 ml",https://devrishiayurveda.com/product/devrishi-udramrit-swaras-sugar-free-ayurvedic-juice-for-acidity-gas-digestive-relief-500-ml/,230.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Immunity,"Devrishi Urja Shakti – Ayurvedic Energy & Vitality Booster for Strength, Stamina & Immunity",https://devrishiayurveda.com/product/devrishi-urja-shakti-ayurvedic-energy-vitality-booster-for-strength-immunity-hormonal-balance-stress-relief/,3725.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Joint Bone Health,"Devrishi Vat Parvahi Syrup – For Joint Pain, Arthritis, Inflammation & Mobility – 200ml",https://devrishiayurveda.com/product/devrishi-vat-parvahi-syrup-for-joint-pain-arthritis-inflammation-mobility-200ml/,180.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Mens Wellness,Devrishi Virya Stambhak Vati,https://devrishiayurveda.com/product/devrishi-virya-stambhak-vati/,390.0,5.0,2026-07-28 01:16:26
Devrishi Ayurveda,Immunity,"Giloy Churna (Guduchi Powder) – Immunity Booster, Detox & Fever Support | 100g",https://devrishiayurveda.com/product/giloy-churna-guduchi-powder-immunity-booster-detox-fever-support-100g/,90.0,,2026-07-28 01:16:26
Devrishi Ayurveda,Kidney Wellness,"Gokhru Churna (Gokshura Powder) – Kidney Health, Urinary Support & Vitality Booster |  100g",https://devrishiayurveda.com/product/gokhru-churna-gokshura-powder-kidney-health-urinary-support-vitality-booster-100g/,110.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Beauty Care,Gorika Anti Pigmentation Cream for Women,https://devrishiayurveda.com/product/gorika-anti-pigmentation-cream-for-women/,270.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Singal Herbs Churna,"Gudhal Churna (Hibiscus Powder) – Hair Growth, Skin Glow & Heart Health Support |100g",https://devrishiayurveda.com/product/gudhal-churna-hibiscus-powder-hair-growth-skin-glow-heart-health-support-100g/,150.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Diabetic Wellness,Gudmar Churna (Gymnema Sylvestre Powder) – Blood Sugar Control & Metabolism Support |100g,https://devrishiayurveda.com/product/gudmar-churna-gymnema-sylvestre-powder-blood-sugar-control-metabolism-support-100g/,120.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Joint Bone Health,"Hadjod Churna (Cissus Powder) – Bone Strength, Joint Support & Fracture Recovery | 100g",https://devrishiayurveda.com/product/hadjod-churna-cissus-powder-bone-strength-joint-support-fracture-recovery-100g/,140.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Digestive Wellness,"Harad Churna – Digestive Support, Detox & Gut Health |100g",https://devrishiayurveda.com/product/harad-churna-haritaki-powder-digestive-support-detox-gut-health-100g/,100.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Digestive Wellness,"Haritaki Churna– Digestive Health, Detox & Gut Cleanser |  100g",https://devrishiayurveda.com/product/haritaki-churna-digestive-health-detox-gut-cleanser-100g/,100.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Digestive Wellness,"Indrayana Churna – Digestive Cleanser, Detox & Gut Health Support |  100g",https://devrishiayurveda.com/product/indrayana-churna-digestive-cleanser-detox-gut-health-support-100g/,95.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Singal Herbs Churna,Jamun Gutli Churna (Jamun Seed Powder) – Blood Sugar Control & Digestive Support |  100g,https://devrishiayurveda.com/product/jamun-gutli-churna-jamun-seed-powder-blood-sugar-control-digestive-support-100g/,110.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Digestive Care,Kabz Clear Syrup for Constipation,https://devrishiayurveda.com/product/kabz-clear-syrup-for-constipation/,140.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Diabetic Wellness,"Karela Churna (Bitter Gourd Powder) – Blood Sugar Control, Detox & Digestive Support |  100g",https://devrishiayurveda.com/product/karela-churna-bitter-gourd-powder-blood-sugar-control-detox-digestive-support-100g/,80.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Stamina Booster,"Kaunch Beej Churna (Mucuna Pruriens Powder) – Strength, Vitality & Testosterone Support |  100g",https://devrishiayurveda.com/product/kaunch-beej-churna-mucuna-pruriens-powder-strength-vitality-testosterone-support-100g/,110.0,,2026-07-28 01:16:32
Devrishi Ayurveda,Hair Wellness,Kuntal Hair Oil For Hair Growth and Hair Fall Control,https://devrishiayurveda.com/product/kuntal-hair-oil-for-hair-growth-and-hair-fall-control/,240.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Womens Wellness,Lady Cure Ayurvedic Syrup For PCOS and Period Pain Relief,https://devrishiayurveda.com/product/lady-cure-ayurvedic-syrup-for-hormone-balance-pcos-period-pain-relief-treating-irregular-periods/,260.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Digestive Care,Livo Amrit Syrup For Liver Problems,https://devrishiayurveda.com/product/livo-amrit-syrup-for-liver-problems/,160.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Digestive Care,"Methi Churna (Fenugreek Powder) – Blood Sugar Control, Digestion & Hair Health | 100g",https://devrishiayurveda.com/product/methi-churna-fenugreek-powder-blood-sugar-control-digestion-hair-health-100g/,190.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Diabetic Wellness,Neem Karela Jamun Churna – Advanced Blood Sugar Control & Detox Support | 100g,https://devrishiayurveda.com/product/neem-karela-jamun-churna-advanced-blood-sugar-control-detox-support-100g/,160.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Digestive Care,"Pachak Panchamrat Ras Tonic for Digestion, Constipation, Acidity and Gas Relief",https://devrishiayurveda.com/product/pachak-panchamrat-ras-tonic-for-digestion-constipation-acidity-and-gas-relief/,160.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Digestive Care,"Pudina Churna (Mint Powder) – Digestive Support, Cooling Relief & Gut Health | 100g",https://devrishiayurveda.com/product/pudina-churna-mint-powder-digestive-support-cooling-relief-gut-health-100g/,130.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Stamina Booster,"Safed Musli Churna – Strength, Stamina & Vitality Booster | 100g",https://devrishiayurveda.com/product/safed-musli-churna-strength-stamina-vitality-booster-100g/,460.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Daily Wellness,Sandhi Rakshak Ras for Muscles and Back Pain,https://devrishiayurveda.com/product/sandhi-rakshak-ras-for-muscles-and-back-pain/,160.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Cough Cold,Shwasika Avaleha Churn For Cough & Cold,https://devrishiayurveda.com/product/swasha-awaleh-churn-for-cough-cold/,260.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Blood Purify,Skino Amrit – Ayurvedic Blood Purifier (Syrup + Tablets Combo),https://devrishiayurveda.com/product/skino-amrit-ayurvedic-blood-purifier-syrup-tablets-combo/,270.0,,2026-07-28 01:16:42
Devrishi Ayurveda,Memory Booster,Smaran Amrit Avaleha Brain Support for Memory & Focus,https://devrishiayurveda.com/product/smaran-amrit-awleh-brain-support-for-memory-focus/,240.0,4.0,2026-07-28 01:16:42
Devrishi Ayurveda,Mens Wellness,Warts Remover Ointment for Men and Women | Wart Removal Cream for Men & Women,https://devrishiayurveda.com/product/devrishi-massa-nashak-paste/,250.0,4.64,2026-07-28 01:16:50
